match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,0,0,0,0,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,0,0,0,0,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,0,0,0,0,0,0,3,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,0,0,0,0,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,0,0,0,0,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,0,0,0,0,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,S Nadeem,RV Uthappa,1,0,0,0,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,S Nadeem,RV Uthappa,1,0,0,0,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,S Nadeem,RV Uthappa,1,1,0,1,0,0,3,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,S Nadeem,JD Ryder,1,0,0,0,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,S Nadeem,JD Ryder,1,1,0,1,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,S Nadeem,RV Uthappa,1,1,0,1,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,IK Pathan,RV Uthappa,2,0,0,0,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,IK Pathan,RV Uthappa,2,0,1,1,1,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,2,4,0,4,0,0,3,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,2,4,0,4,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,IK Pathan,JD Ryder,2,1,0,1,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,IK Pathan,RV Uthappa,2,1,0,1,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,M Morkel,RV Uthappa,3,6,0,6,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,M Morkel,RV Uthappa,3,4,0,4,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,M Morkel,RV Uthappa,3,1,0,1,0,0,3,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,M Morkel,JD Ryder,3,0,1,1,0,0,4,0,1,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,M Morkel,JD Ryder,3,0,0,0,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",RV Uthappa,M Morkel,JD Ryder,3,0,0,0,0,0,6,0,0,RV Uthappa,caught,NV Ojha,Pune Warriors,SC Ganguly,1,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,M Morkel,JD Ryder,3,1,0,1,0,0,7,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,UT Yadav,JD Ryder,4,0,0,0,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,UT Yadav,JD Ryder,4,0,0,0,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,UT Yadav,JD Ryder,4,0,0,0,0,0,3,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,UT Yadav,JD Ryder,4,0,0,0,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,UT Yadav,JD Ryder,4,1,0,1,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,UT Yadav,SC Ganguly,4,6,0,6,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,M Morkel,JD Ryder,5,4,0,4,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,M Morkel,JD Ryder,5,1,0,1,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,M Morkel,SC Ganguly,5,4,1,5,0,0,3,1,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,M Morkel,SC Ganguly,5,2,0,2,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,M Morkel,SC Ganguly,5,4,0,4,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,M Morkel,SC Ganguly,5,1,0,1,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,M Morkel,JD Ryder,5,1,0,1,0,0,7,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,6,1,0,1,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,KP Pietersen,SC Ganguly,6,1,0,1,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,6,0,0,0,0,0,3,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,6,1,0,1,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,KP Pietersen,SC Ganguly,6,0,0,0,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,KP Pietersen,SC Ganguly,6,1,0,1,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,V Sehwag,SC Ganguly,7,4,0,4,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,V Sehwag,SC Ganguly,7,0,0,0,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,V Sehwag,SC Ganguly,7,0,0,0,0,0,3,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,V Sehwag,SC Ganguly,7,1,0,1,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,V Sehwag,JD Ryder,7,0,0,0,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,V Sehwag,JD Ryder,7,4,0,4,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,KP Pietersen,SC Ganguly,8,4,0,4,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,KP Pietersen,SC Ganguly,8,1,0,1,0,0,2,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,8,0,1,1,0,0,3,0,1,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,8,6,0,6,0,0,4,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,8,1,0,1,0,0,5,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",JD Ryder,KP Pietersen,SC Ganguly,8,1,0,1,0,0,6,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,8,0,1,1,0,0,7,0,1,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,8,0,1,1,0,0,8,0,1,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,KP Pietersen,JD Ryder,8,1,0,1,0,0,9,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,S Nadeem,JD Ryder,9,0,0,0,0,0,1,0,0,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,S Nadeem,JD Ryder,9,0,1,1,0,0,2,0,1,,,,Pune Warriors,SC Ganguly,0,Runs
27,2012-04-21,male,T20,"Delhi Daredevils, Pune Warriors",Delhi Daredevils,Pune Warriors,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,"Asad Rauf, S Das",SC Ganguly,S Nadeem,JD Ryder,9,0,1,1,0,0,3,0,1,,,,Pune Warriors,SC Ganguly,0,Runs
